date	title	cat1	cat2	url	post_text
August 23, 2018	Chef's Indian Premier League Playlist Generates 13M Views	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/chefs-indian-premier-league-playlist-generates-13m-views	
August 21, 2018	News Anchor Bob Herzog Shares 5 Tips for Using Facebook Live	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/bob-herzog-wake-up-make-up-facebook-live	
August 21, 2018	Spotlight on Local News: Anchor Bob Herzog Shares 5 Tips for Using Facebook Live	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spotlight-on-local-news-anchor-bob-herzog-shares-5-tips-for-using-facebook-live	
August 20, 2018	Inside the Local News Subscriptions Accelerator: Optimizing Your Checkout Flow	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-optimizing-your-checkout-flow	
August 20, 2018	How to Optimize Your Checkout Flow	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/checkout-flow-optimization	
August 15, 2018	The Facebook Journalism Project partners with the News Literacy Project to expand its news literacy classroom for students	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-facebook-journalism-project-partners-with-the-news-literacy-project-to-expand-its-news-literacy-classroom-for-students	
August 15, 2018	NASCAR and Bubba Wallace Find Marketing Formula for Facebook Watch	SUCCESS STORIES		https://www.facebook.com/formedia/blog/nascar-and-bubba-wallace-find-marketing-formula-for-facebook-watch	
August 15, 2018	Facebook Project Prioritizes Student News Literacy	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-student-news-literacy	
August 14, 2018	Creator Spotlight: Motivational Makers | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-motivational-makers	
August 14, 2018	Creator Spotlight: Animal Spirit | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-animal-spirit	
August 13, 2018	Best Practices for Facebook and Instagram	BEST PRACTICES		https://www.facebook.com/formedia/blog/best-practices-for-facebook-and-instagram	
August 9, 2018	Inside the Local News Subscriptions Accelerator: Mastering the Mid-Funnel	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-mastering-the-mid-funnel	
August 8, 2018	How to Nurture Business With Mid-Funnel Marketing	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/mid-funnel-marketing	
August 2, 2018	Stephen Curry Raises $82K To Fight Malaria Through Facebook's Donate Button	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/stephen-curry-raises-82k-to-fight-malaria-through-facebooks-donate-button	
August 2, 2018	The Next Step in Our Journey to Help Local News Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-next-step-in-journey-news-publishers	
August 2, 2018	Inside the Local News Subscriptions Accelerator: Publishers Share Their Results	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-publishers-share-their-results	
August 2, 2018	The Next Step in our Journey to Help Local News Publishers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-next-step-in-our-journey-to-help-local-news-publishers	
August 2, 2018	Publishers See Results With the Facebook Accelerator Program	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/results-facebook-accelerator-program	
August 1, 2018	Spotlight on Local News: CrowdTangle is Bringing one of Connecticut’s Oldest Local News Stations into the Future	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/crowdtangle-is-bringing-one-of-connecticuts-oldest-local-news-stations-into-the-future	
July 30, 2018	Cricket Australia Goes Live to Bring WBBL to Wider Audience	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/cricket-australia-goes-live-to-bring-wbbl-to-wider-audience	
July 30, 2018	Introducing Brand Collabs Manager | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/introducing-brand-collabs-manager	
July 24, 2018	Inside the Local News Subscriptions Accelerator: Menlo Park Recap	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-menlo-park-recap	
July 23, 2018	A Fresh Look for Your Page | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/a-fresh-look-for-your-page	
July 18, 2018	How to Improve Marketing Operations for Subscription Campaigns	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/marketing-subscription-campaigns	
July 18, 2018	Inside the Local News Subscriptions Accelerator: Lessons in Marketing Operations	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-lessons-in-marketing-operations	
July 11, 2018	How to Watch the First Funded News Shows on Facebook Watch	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-to-watch-the-first-funded-news-shows-on-facebook-watch	
July 9, 2018	UCF Knights' Content Plan Leads to Top 5 Division I Ranking in Facebook Engagement and Growth	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/the-university-of-central-florida-demonstrated-the-impact-of-creating-engaging-content-to-drive-conversation	
June 28, 2018	Facebook helps coalition of 24 news organizations fight misinformation in Brazil	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-helps-coalition-of-24-news-organizations-fight-misinformation-in-brazil	
June 28, 2018	Facebook Helps Brazil News Organizations Fight Misinformation	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-helps-brazil-news-organizations-fight-misinformation	
June 28, 2018	Best Practices for Driving Discussions Around Your Videos	BEST PRACTICES		https://www.facebook.com/formedia/blog/best-practices-for-driving-discussions-around-your-videos	
June 27, 2018	Investing in News Subscriptions	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/investing-in-news-subscriptions	
June 27, 2018	Facebook Invests in News Subscriptions	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-invests-news-subscriptions	
June 25, 2018	PVR Cinemas Debut In-Theater Facebook Live with Dharma Productions	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/pvr-cinemas-debut-in-theater-facebook-live-with-dharma-productions	
June 25, 2018	Recap: Creator Day and VidCon US 2018 | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/creator-day-and-vidcon-recap	
June 19, 2018	Grow Your Fanbase | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/grow-your-fanbase	
June 19, 2018	Up-level your videos | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/up-level-your-videos	
June 19, 2018	Getting Started with Tools | Facebook for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/getting-started-with-tools	
June 19, 2018	Making Video More Interactive	BEST PRACTICES		https://www.facebook.com/formedia/blog/making-video-more-interactive	
June 19, 2018	Enhance Audience Engagement | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/enhance-audience-engagement	
June 19, 2018	Keeping Content Safe and Authentic | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/keeping-content-safe	
June 15, 2018	Josh Talks Expands Audience With Facebook Videos in Vernacular Languages	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/josh-talks-expands-audience-with-facebook-video-in-vernacular-languages	
June 14, 2018	Creator Spotlight: For Your Entertainment | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-for-your-entertainment	
June 14, 2018	Facebook Blueprint Courses for Journalists and Publishers	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-blueprint-courses-journalists-publishers	
June 14, 2018	Announcing two new Facebook Journalism Project + Poynter Institute online courses	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/announcing-two-new-facebook-journalism-project-poynter-institute-online-courses	
June 14, 2018	Happy Pride! | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/happy-pride	
June 13, 2018	Authorizing Ads with Political Content: Why Publishers Are Included	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/authorizing-ads-with-political-content-why-publishers-are-included	
June 12, 2018	Inside the Local News Subscriptions Accelerator: Testing in Seattle	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-testing-in-seattle	
June 6, 2018	BILD's CrowdTangle Blueprint: Finding Diamond-In-the-Rough Stories and Making Them Pop Across 75 Facebook Pages	SUCCESS STORIES		https://www.facebook.com/formedia/blog/bilds-crowdtangle-blueprint-finding-diamond-in-the-rough-stories-and-making-them-pop-across-75-facebook-pages	
June 6, 2018	Introducing the First Funded News Shows for Facebook Watch	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-the-first-funded-news-shows-for-facebook-watch	
June 5, 2018	Newsroom Support Is Key to Promoting Digital Subscriptions	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/digital-subscription-offers	
June 5, 2018	Newsroom Support Is Key to Promoting Digital Subscriptions	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/digital-subscriptions-newsroom	
June 5, 2018	Inside the Local News Subscriptions Accelerator: Leveraging Your Newsroom to Promote Digital Subscriptions	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-leveraging-your-newsroom-to-promote-digital-subscriptions	
June 5, 2018	Mexican National League Brings Live Basketball Games to Facebook	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/mexican-national-league-brings-live-basketball-games-to-facebook	
June 5, 2018	Creator Spotlight: Art of Beauty | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-art-of-beauty	
May 31, 2018	8 Alternate Tactics to Acquire Subscriptions	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/acquire-subscriptions	
May 31, 2018	Inside the Local News Subscriptions Accelerator: 8 Alternate Ways of Acquiring Digital Subscribers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-8-alternate-subs	
May 25, 2018	CrowdTangle Can Save Your News Company $200,000. Lessons from Deutsche Welle	SUCCESS STORIES		https://www.facebook.com/formedia/blog/crowdtangle-can-save-your-news-company-200000-lessons-from-deutsche-welle	
May 24, 2018	Creator Spotlight: Funny Business | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creator-spotlight-funny-business	
May 23, 2018	Inside the Local News Subscriptions Accelerator: Austin Meeting Recap	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-austin-recap	
May 23, 2018	Sports Illustrated Uses Instagram Stories Tools to Drive Engagement	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/sports-illustrated-uses-instagram-stories-tools-to-drive-engagement	
May 18, 2018	Facebook for Business Influencers	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/businessinfluencers	
May 18, 2018	Get to Know Ms Yeah | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/get-to-know-ms-yeah	
May 18, 2018	Game Media Asia Network Uses CrowdTangle Slack Alerts to Level-Up	SUCCESS STORIES		https://www.facebook.com/formedia/blog/game-media-asia-network-uses-crowdtangle-slack-alerts-to-level-up	
May 17, 2018	The Facebook Journalism Project's Digital Journalism Fellowship	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-journalism-project-digital-journalism-fellowship	
May 17, 2018	The Facebook Journalism Project partners with Hamburg Media School to launch Digital Journalism Fellowship	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-facebook-journalism-project-partners-with-hamburg-media-school-to-launch-digital-journalism-fellowship	
May 15, 2018	How the Australian Broadcasting Corporation Rolled out CrowdTangle to 500 Digital Producers Across its Regional Newsrooms	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-the-australian-broadcasting-corporation-rolled-out-crowdtangle-to-500-digital-producers-across-its-regional-newsrooms	
May 10, 2018	Facebook Video Strategies From Bustle, PopSugar, and More	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-video-strategies-bustle-popsugar	
May 10, 2018	Creating Loyal Viewers | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/creating-loyal-viewers	
May 10, 2018	A Look Inside the Video Strategies of 7 Digital-Native Publishers on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/a-look-inside-the-video-strategies-of-7-digital-native-publishers-on-facebook	
May 9, 2018	Inside The Local News Subscriptions Accelerator: Three lessons from Aftenposten, a digital subscriptions powerhouse	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-three-lessons-from-aftenposten-a-digital-subscriptions-powerhouse	
May 8, 2018	New Live Tools for Publishers: Persistent Stream Keys, Crossposting and Live Rewind	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/new-live-tools-for-publishers-persistent-stream-keys-crossposting-and-live-rewind	
May 7, 2018	Tom Brady Uses Facebook to Build Community and Grow Business	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/tom-brady-uses-facebook-to-build-community-and-grow-business	
May 2, 2018	An Update on Video Retention Metrics	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/an-update-on-video-retention-metrics	
April 20, 2018	Inside The Local News Subscriptions Accelerator: How The Boston Globe Used Cliffhangers to Generate Email Leads	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-how-the-boston-globe-used-cliffhangers-to-generate-email-leads	
April 20, 2018	A Diverse Music Community is a Very Good Thing	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/a-diverse-music-community-is-a-very-good-thing	
April 20, 2018	How Condé Nast Built Communities Using Facebook Groups Across Eight Publications	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/how-conde-nast-has-built-communities-using-facebook-groups-across-eight-publications	
April 20, 2018	How Expressen Rolled Out CrowdTangle to Drive Digital Literacy Across Their Business	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-expressen-rolled-out-crowdtangle-to-drive-digital-literacy-across-their-business	
April 20, 2018	Spotlight on Local News: A Local Swedish Paper Connects Commuters and Affects Change Through Facebook Groups	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spotlight-on-local-news-a-local-swedish-paper-connects-commuters-and-affects-change-through-facebook-groups	
April 20, 2018	Best practices and updates on video and monetization	BEST PRACTICES		https://www.facebook.com/formedia/blog/best-practices-and-updates-on-video-and-monetization	
April 19, 2018	Protect Your Videos | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/protect-your-videos	
April 19, 2018	Food Creators Discover Ingredients for Success on Facebook	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/india_foodblogs	
April 16, 2018	Inside the Local News Subscriptions Accelerator: How to Optimize Your Website to Drive Subscriptions	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscription-accelerator-recap-from-the-nyc-kickoff	
April 16, 2018	How CrowdTangle Became the Colts' 12th Man	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-crowdtangle-became-the-colts-12th-man	
April 16, 2018	How to Optimize Your Website to Drive Subscriptions	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/optimize-website	
April 12, 2018	Inside The Local News Subscriptions Accelerator: 10 Email Marketing Tips	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscriptions-accelerator-10-email-marketing-tips	
April 12, 2018	15 Practical Email Marketing Tips	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/email-marketing-tips	
April 10, 2018	Interview: McClure Twins Family | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/interview-mcclure-twins-family	
April 9, 2018	Inside the Local News Subscriptions Accelerator: Recap from the NYC Kickoff	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-local-news-subscription-accelerator-recap-from-the-nyc-kickoff	
April 2, 2018	High Quality Content Drives Measurable Business Results	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/dolphins-video	
March 28, 2018	Bringing Local News Section, Today In, to More US Cities	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/bringing-local-news-section-today-in-to-more-us-cities	
March 27, 2018	Tim McGraw Debuts #1 Music Video on Facebook	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/mcgraw	
March 27, 2018	Using Insights to Make Better Videos | Facebook for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/your-guide-to-insights	
March 18, 2018	Facebook's Today In Expands to More U.S. Cities	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/facebook-today-in-expands-us-cities	
March 16, 2018	PBS NewsHour and The New York Times Team Up for Now Read This: A Monthly Book Club in Facebook Groups	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/pbs-newshour-and-the-new-york-times-team-up-for-now-read-this-a-monthly-book-club-in-facebook-groups	
March 16, 2018	Now Read This: How the Book Club Started in a Facebook Group	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/now-read-this-book-club-pbs-new-york-times	
March 8, 2018	Spotlight on Local News: The Boston Globe Uses Groups to Build Meaningful Dialogue About Race in Boston	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spotlight-on-local-news-the-boston-globes-strategy-for-using-groups-to-build-meaningful-dialogue-about-race-in-boston	
March 3, 2018	Enabling Publishers to Label Breaking News on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/enabling-publishers-to-label-breaking-news-on-facebook	
March 2, 2018	Facebook Improves News Literacy Through Collaboration	SUCCESS STORIES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-news-literacy-collaboration	
February 27, 2018	Felipinho Massa and Daniel Ricciardo Race on Facebook Live	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/felipe-massa	
February 27, 2018	Facebook Helps Local News Publishers Build Digital Subscriptions	SUCCESS STORIES		https://www.facebook.com/formedia/blog/facebook-local-news-digital-subscriptions	
February 27, 2018	Helping Local News Publishers Develop Digital Subscriptions	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/helping-local-news-publishers-develop-digital-subscriptions	
February 22, 2018	The Facebook Journalism Project partners with the Society of Professional Journalists to launch journalists training program	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-facebook-journalism-project-partners-with-the-society-of-professional-journalists-to-launch-journalists-training-program	
February 22, 2018	SPJ Training Program - Tools & Training for Journalists	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/spj-training-program-tools-training-journalists	
February 21, 2018	Supporting the Rory Peck Trust	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/supporting-the-rory-peck-trust	
February 21, 2018	Facebook Journalism Project Supports the Rory Peck Trust	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/supporting-rory-peck-trust	
June 30, 2021	The Big Baller Brand Playbook: How LaVar Ball and His Family Built a Facebook Community and Drove Merchandise Sales	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/bigballerbrand	
February 8, 2018	Facebook's Rights Manager Now Protects Your Video on Instagram	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebooks-rights-manager-now-protects-your-video-on-instagram	
February 7, 2018	Alpine Canada Leverages Facebook's Storytelling Tools To Generate Revenue	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/alpinecanada	
January 30, 2018	Spotlight on Local News: One Day of Facebook Live Broadcasts From Córdoba, Argentina	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spotlight-on-local-news-one-day-of-facebook-lives-from-cordoba-argentina	
January 26, 2018	Introducing The Facebook Journalism Project Scholarship	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-the-facebook-journalism-project-scholarship	
January 16, 2018	Scrum for News Organizations	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/facebook-accelerator-scrum-for-news	
January 16, 2018	Inside the Membership Accelerator: Scrum for News Organizations	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/inside-the-membership-accelerator-scrum-for-news-organizations	
January 11, 2018	News Feed FYI: Bringing People Closer Together	SUCCESS STORIES		https://www.facebook.com/formedia/blog/news-feed-fyi-bringing-people-closer-together	
January 11, 2018	Building Community Together With Music	BEST PRACTICES		https://www.facebook.com/formedia/blog/building-community-together-with-music	
January 11, 2018	FIGHTNIGHT LIVE Brings a Social Viewing Experience to Boxing and MMA Through Facebook Live	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/fightnight	
January 2, 2018	Millions shared New Year’s Eve moments with friends and family on Facebook Live	SUCCESS STORIES		https://www.facebook.com/formedia/blog/millions-shared-new-years-eve-moments-with-friends-and-family-on-facebook-live	
June 30, 2021	Comedian Beyounick Grows Audience on Facebook with Consistent Video Strategy	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/Beyounick	
December 14, 2017	Updates to Video Distribution and Monetization	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/updates-to-video-distribution-and-monetization	
December 8, 2017	Upgrade Your Video Strategy | Facebook for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/upgrade-your-video-strategy	
December 8, 2017	Introducing Sound Collection | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/introducing-sound-collection	
December 8, 2017	Creativity with 360 Video | Facebook for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/creativity-with-360	
December 7, 2017	Viral ≠ Ephemeral: BuzzFeed on Driving Massive Shareability with Serious, Long-Form Video	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/viral-ephemeral-buzzfeed-on-driving-massive-shareability-with-serious-long-form-video	
December 7, 2017	Get the Most from Page Insights	BEST PRACTICES		https://www.facebook.com/formedia/blog/getting-the-most-from-page-insights	
December 4, 2017	Why Quartz Launched its New Edition With a Facebook Group: A Q+A With Editor Khe Hy	SUCCESS STORIES		https://www.facebook.com/formedia/blog/why-quartz-launched-its-new-edition-with-a-facebook-group-a-qa-with-editor-khe-hy	
November 30, 2017	How 4 Local Reporters Use Facebook Live	BEST PRACTICES	JOURNALISM	https://www.facebook.com/journalismproject/4-local-reporters-use-facebook-live	
November 30, 2017	Spotlight on Local News: How Four Local Reporters Are Using Facebook Live	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spotlight-on-local-news-how-four-local-reporters-are-using-facebook-live	
November 16, 2017	Meta for Creators is Here | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/facebook-for-creators-is-here	
November 16, 2017	Launching New Trust Indicators From the Trust Project for News on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/launching-new-trust-indicators-from-the-trust-project-for-news-on-facebook	
November 16, 2017	Q&A with a Superstar Gamer | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/5-creator-shows-to-watch	
November 16, 2017	Q&A with a Superstar Gamer | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/qanda-with-a-superstar-gamer	
November 16, 2017	Instant Articles Introduces “Monetization Tab”, With Simpler, One-Click Control for Turning on Recirculation Ads	BEST PRACTICES		https://www.facebook.com/formedia/blog/instant-articles-introduces-monetization-tab-with-simpler-one-click-control-for-turning-on-recirculation-ads	
December 3, 2021	ADayInTheLife with Brazilian singer Claudia Leitte	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/adayinthelife-with-brazilian-singer-claudia-leitte	
October 24, 2017	Tips for Musicians and Bands	BEST PRACTICES		https://www.facebook.com/formedia/blog/tips-for-musicians-and-bands-us	
October 19, 2017	Testing Subscriptions Support in Instant Articles	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/testing-subscriptions-support-in-instant-articles	
September 19, 2017	What Vox Learned from Building Groups and Creating Communities on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/what-vox-learned-from-building-groups-and-creating-communities-on-facebook	
September 13, 2017	Standards and Guidelines for Earning Money from Your Content on Facebook	BEST PRACTICES		https://www.facebook.com/formedia/blog/standards-and-guidelines-for-earning-money-from-your-content-on-facebook	
September 13, 2017	Introducing Updates to the Live API	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-updates-to-the-live-api	
September 11, 2017	Wimbledon Serves Up Series of Branded Content Treats for Fans	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/wimbledon_BC	
August 21, 2017	TED Uses Facebook and Instagram to Bring Conference To Global Audience	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/TED	
August 18, 2017	Everton Engages Global Audience by Broadcasting Match on Facebook Live	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/everton	
August 9, 2017	Introducing Watch and Shows on Facebook	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-watch-and-shows-on-facebook	
August 9, 2017	Tribune Broadcasting Finds their Sweet Spot with Instant Articles	SUCCESS STORIES		https://www.facebook.com/formedia/blog/tribune-broadcasting-finds-their-sweet-spot-with-instant-articles	
August 3, 2017	Ideas from the Facebook Journalism Project Hackathons	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/ideas-from-the-facebook-journalism-project-hackathons	
August 2, 2017	Best Practices to Improve Mobile Site Performance	BEST PRACTICES		https://www.facebook.com/formedia/blog/best-practices-to-improve-mobile-site-performance	
July 25, 2017	Introducing the Live 360 Ready Program and new features for Live 360	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-the-live-360-ready-program-and-new-features-for-live-360	
July 20, 2017	Facebook Journalism Project: Six Month Update	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/facebook-journalism-project-six-month-update	
July 19, 2017	New Instant Articles Analytics Tool	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/new-instant-articles-analytics-tool	
July 18, 2017	Next Steps to Addressing Link Preview Modification	BEST PRACTICES		https://www.facebook.com/formedia/blog/next-steps-to-addressing-link-preview-modification	
July 17, 2017	Spotlight on Local News: Using Live 360 To Report on Local Election Results	SUCCESS STORIES		https://www.facebook.com/formedia/blog/spotlight-on-local-news-using-live-360-to-report-on-local-election-results	
July 12, 2017	AS Roma Celebrates Milestone With Fans Through Facebook Live	ANNOUNCEMENTS	MEDIA	https://www.facebook.com/facebookmedia/success-stories/asroma	
June 23, 2017	Introducing Facebook Safety for Journalists Resources	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-facebook-safety-for-journalists-resources	
June 23, 2017	World Snooker Expands Audience Using Facebook Live	SUCCESS STORIES	MEDIA	https://www.facebook.com/facebookmedia/success-stories/worldsnooker	
June 22, 2017	Introducing the Justice League effects to the Facebook camera	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/introducing-the-justice-league-effects-to-the-facebook-camera	
June 15, 2017	Asia Pacific News Literacy Group identifies first round of projects to fund under Facebook Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/asia-pacific-news-literacy-group-identifies-first-round-of-projects-to-fund-under-facebook-journalism-project	
June 12, 2017	How The Times-Picayune Became a Digital-First Newsroom and Uses Facebook to Break News	SUCCESS STORIES		https://www.facebook.com/formedia/blog/how-the-times-picayune-became-a-digital-first-newsroom-and-uses-facebook-to-break-news	
June 8, 2017	Expanding Monetization Opportunities on Instant Articles	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/expanding-monetization-opportunities-on-instant-articles	
